iter	Passed	Remaining
0	1	1795
1	3	1599
2	4	1587
3	6	1562
4	7	1518
5	8	1483
6	10	1495
7	12	1503
8	13	1513
9	15	1535
10	17	1561
11	19	1568
12	20	1578
13	22	1578
14	24	1578
15	25	1578
16	27	1576
17	28	1569
18	30	1560
19	31	1548
20	33	1545
21	34	1536
22	36	1531
23	37	1530
24	39	1522
25	40	1518
26	42	1517
27	43	1523
28	45	1508
29	46	1504
30	47	1494
31	49	1496
32	51	1499
33	52	1501
34	54	1504
35	56	1507
36	58	1514
37	59	1508
38	61	1505
39	62	1508
40	64	1506
41	65	1493
42	67	1494
43	68	1492
44	70	1492
45	72	1499
46	74	1504
47	75	1501
48	77	1499
49	78	1496
50	80	1492
51	81	1481
52	82	1480
53	84	1480
54	85	1475
55	87	1473
56	88	1469
57	90	1471
58	92	1469
59	93	1460
60	94	1460
61	96	1463
62	98	1468
63	100	1468
64	102	1471
65	103	1468
66	105	1468
67	107	1471
68	109	1471
69	110	1472
70	112	1469
71	113	1468
72	115	1471
73	117	1472
74	119	1472
75	121	1474
76	123	1475
77	124	1473
78	126	1473
79	128	1473
80	129	1470
81	131	1472
82	133	1471
83	134	1471
84	136	1467
85	137	1465
86	139	1461
87	141	1462
88	142	1460
89	144	1461
90	146	1459
91	147	1456
92	149	1456
93	151	1457
94	153	1458
95	154	1457
96	156	1454
97	158	1455
98	159	1452
99	161	1449
100	162	1449
101	164	1446
102	166	1446
103	167	1445
104	169	1444
105	170	1441
106	172	1438
107	173	1435
108	175	1433
109	177	1432
110	178	1430
111	180	1428
112	181	1425
113	183	1422
114	184	1421
115	186	1418
116	187	1415
117	189	1414
118	190	1412
119	192	1410
120	193	1406
121	195	1403
122	196	1400
123	198	1399
124	199	1397
125	201	1396
126	202	1394
127	204	1393
128	206	1393
129	207	1391
130	209	1389
131	211	1389
132	212	1387
133	214	1385
134	216	1385
135	217	1383
136	219	1383
137	221	1382
138	222	1380
139	224	1378
140	226	1377
141	227	1375
142	229	1375
143	231	1373
144	232	1372
145	234	1369
146	235	1367
147	237	1365
148	239	1365
149	240	1362
150	242	1361
151	243	1359
152	245	1357
153	247	1357
154	248	1356
155	250	1354
156	251	1352
157	253	1350
158	254	1348
159	256	1347
160	258	1345
161	259	1343
162	261	1341
163	262	1340
164	264	1337
165	265	1335
166	267	1333
167	268	1332
168	270	1329
169	272	1328
170	273	1326
171	275	1324
172	276	1322
173	278	1320
174	279	1319
175	281	1318
176	283	1317
177	284	1315
178	286	1313
179	287	1311
180	289	1310
181	291	1309
182	292	1307
183	294	1304
184	295	1303
185	297	1302
186	299	1300
187	300	1299
188	302	1297
189	304	1297
190	306	1296
191	307	1294
192	309	1293
193	311	1292
194	312	1290
195	314	1288
196	315	1286
197	317	1284
198	318	1282
199	320	1280
200	321	1278
201	323	1277
202	325	1276
203	326	1274
204	328	1272
205	329	1271
206	331	1270
207	333	1268
208	334	1267
209	336	1265
210	338	1264
211	339	1263
212	341	1262
213	343	1260
214	345	1259
215	346	1258
216	348	1255
217	349	1254
218	351	1252
219	352	1250
220	354	1249
221	356	1248
222	357	1246
223	359	1244
224	360	1243
225	362	1241
226	364	1241
227	366	1240
228	368	1238
229	370	1238
230	371	1237
231	373	1237
232	375	1235
233	377	1234
234	378	1232
235	380	1230
236	381	1228
237	383	1226
238	385	1226
239	386	1224
240	388	1223
241	390	1221
242	391	1219
243	393	1217
244	394	1215
245	396	1214
246	397	1212
247	399	1209
248	400	1207
249	402	1206
250	403	1204
251	405	1202
252	406	1200
253	408	1198
